sample-id	forward-absolute-filepath	reverse-absolute-filepath
SRR18595688	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595688_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595688_2.fastq.gz
SRR18595689	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595689_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595689_2.fastq.gz
SRR18595690	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595690_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595690_2.fastq.gz
SRR18595691	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595691_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595691_2.fastq.gz
SRR18595692	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595692_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595692_2.fastq.gz
SRR18595693	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595693_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595693_2.fastq.gz
SRR18595694	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595694_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595694_2.fastq.gz
SRR18595695	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595695_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595695_2.fastq.gz
SRR18595696	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595696_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595696_2.fastq.gz
SRR18595697	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595697_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595697_2.fastq.gz
SRR18595698	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595698_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595698_2.fastq.gz
SRR18595699	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595699_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595699_2.fastq.gz
SRR18595700	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595700_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595700_2.fastq.gz
SRR18595701	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595701_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595701_2.fastq.gz
SRR18595702	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595702_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595702_2.fastq.gz
SRR18595703	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595703_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595703_2.fastq.gz
SRR18595704	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595704_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595704_2.fastq.gz
SRR18595705	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595705_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595705_2.fastq.gz
SRR18595706	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595706_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595706_2.fastq.gz
SRR18595707	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595707_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595707_2.fastq.gz
SRR18595708	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595708_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595708_2.fastq.gz
SRR18595709	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595709_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595709_2.fastq.gz
SRR18595710	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595710_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595710_2.fastq.gz
SRR18595711	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595711_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595711_2.fastq.gz
SRR18595712	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595712_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595712_2.fastq.gz
SRR18595713	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595713_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595713_2.fastq.gz
SRR18595714	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595714_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595714_2.fastq.gz
SRR18595715	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595715_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595715_2.fastq.gz
SRR18595716	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595716_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595716_2.fastq.gz
SRR18595717	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595717_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595717_2.fastq.gz
SRR18595718	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595718_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595718_2.fastq.gz
SRR18595719	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595719_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA822685/raw/SRR18595719_2.fastq.gz
