sample-id	forward-absolute-filepath	reverse-absolute-filepath
SRR18236708	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236708_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236708_2.fastq.gz
SRR18236719	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236719_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236719_2.fastq.gz
SRR18236725	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236725_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236725_2.fastq.gz
SRR18236726	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236726_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236726_2.fastq.gz
SRR18236727	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236727_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236727_2.fastq.gz
SRR18236728	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236728_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236728_2.fastq.gz
SRR18236729	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236729_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236729_2.fastq.gz
SRR18236730	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236730_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236730_2.fastq.gz
SRR18236731	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236731_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236731_2.fastq.gz
SRR18236732	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236732_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236732_2.fastq.gz
SRR18236733	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236733_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236733_2.fastq.gz
SRR18236734	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236734_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236734_2.fastq.gz
SRR18236735	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236735_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236735_2.fastq.gz
SRR18236736	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236736_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236736_2.fastq.gz
SRR18236737	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236737_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236737_2.fastq.gz
SRR18236738	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236738_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236738_2.fastq.gz
SRR18236739	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236739_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236739_2.fastq.gz
SRR18236740	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236740_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236740_2.fastq.gz
SRR18236741	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236741_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236741_2.fastq.gz
SRR18236742	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236742_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236742_2.fastq.gz
SRR18236743	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236743_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236743_2.fastq.gz
SRR18236744	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236744_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236744_2.fastq.gz
SRR18236745	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236745_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236745_2.fastq.gz
SRR18236746	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236746_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236746_2.fastq.gz
SRR18236752	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236752_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236752_2.fastq.gz
SRR18236763	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236763_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236763_2.fastq.gz
SRR18236774	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236774_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236774_2.fastq.gz
SRR18236785	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236785_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236785_2.fastq.gz
SRR18236786	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236786_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236786_2.fastq.gz
SRR18236787	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236787_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236787_2.fastq.gz
SRR18236788	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236788_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236788_2.fastq.gz
SRR18236789	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236789_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236789_2.fastq.gz
SRR18236790	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236790_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236790_2.fastq.gz
SRR18236791	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236791_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236791_2.fastq.gz
SRR18236792	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236792_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236792_2.fastq.gz
SRR18236793	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236793_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236793_2.fastq.gz
SRR18236794	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236794_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236794_2.fastq.gz
SRR18236795	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236795_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236795_2.fastq.gz
SRR18236796	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236796_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236796_2.fastq.gz
SRR18236797	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236797_1.fastq.gz	/home/ubuntu/OSCC_16S/PRJNA813034/raw/SRR18236797_2.fastq.gz
